
time,ax,ay,az,wx,wy,wz,
0.003,0.28,0.50,-1.46,0.11,0.34,0.09,
0.004,0.18,0.67,-1.78,0.11,0.34,0.09,
0.004,0.18,0.67,-1.78,0.05,0.35,0.09,
0.005,0.13,0.76,-1.95,0.05,0.35,0.09,
0.005,0.13,0.76,-1.95,-0.01,0.35,0.09,
0.006,0.13,0.76,-1.95,-0.06,0.36,0.08,
0.007,0.12,0.70,-1.77,-0.06,0.36,0.08,
0.008,0.12,0.70,-1.77,-0.12,0.36,0.08,
0.008,0.12,0.70,-1.77,-0.18,0.37,0.08,
0.009,0.07,0.60,-1.42,-0.18,0.37,0.08,
0.009,0.07,0.60,-1.42,-0.23,0.38,0.08,
0.01,0.07,0.60,-1.42,-0.28,0.39,0.08,
0.015,-0.01,0.47,-1.12,-0.28,0.39,0.08,
0.016,-0.01,0.47,-1.12,-0.33,0.40,0.07,
0.016,-0.01,0.47,-1.12,-0.37,0.41,0.08,
0.016,-0.08,0.38,-0.95,-0.37,0.41,0.08,
0.017,-0.08,0.38,-0.95,-0.41,0.42,0.08,
0.018,-0.08,0.38,-0.95,-0.45,0.43,0.08,
0.032,-0.08,0.38,-0.95,-0.48,0.42,0.09,
0.033,-0.14,0.33,-0.82,-0.48,0.42,0.09,
0.033,-0.14,0.33,-0.82,-0.50,0.42,0.08,
0.034,-0.19,0.32,-0.81,-0.50,0.42,0.08,
0.034,-0.19,0.32,-0.81,-0.53,0.41,0.09,
0.035,-0.19,0.32,-0.81,-0.54,0.39,0.09,
0.035,-0.19,0.32,-0.81,-0.55,0.38,0.09,
0.036,-0.23,0.33,-0.84,-0.55,0.38,0.09,
0.036,-0.23,0.33,-0.84,-0.56,0.35,0.09,
0.037,-0.26,0.35,-0.82,-0.56,0.35,0.09,
0.037,-0.26,0.35,-0.82,-0.56,0.33,0.10,
0.038,-0.26,0.35,-0.82,-0.56,0.31,0.10,
0.049,-0.22,0.28,-0.66,-0.56,0.31,0.10,
0.05,-0.22,0.28,-0.66,-0.56,0.28,0.10,
0.05,-0.22,0.28,-0.66,-0.55,0.26,0.10,
0.051,-0.22,0.28,-0.66,-0.53,0.24,0.09,
0.052,-0.22,0.28,-0.66,-0.51,0.23,0.09,
0.052,-0.16,0.22,-0.41,-0.51,0.23,0.09,
0.053,-0.16,0.22,-0.41,-0.49,0.21,0.09,
0.053,-0.05,0.13,-0.04,-0.49,0.21,0.09,
0.064,-0.05,0.13,-0.04,-0.46,0.21,0.08,
0.065,0.07,0.05,0.24,-0.46,0.21,0.08,
0.065,0.07,0.05,0.24,-0.43,0.20,0.08,
0.065,0.07,0.05,0.24,-0.39,0.20,0.08,
0.066,0.16,-0.05,0.43,-0.39,0.20,0.08,
0.066,0.16,-0.05,0.43,-0.36,0.20,0.08,
0.066,0.16,-0.05,0.43,-0.32,0.21,0.07,
0.067,0.16,-0.05,0.43,-0.28,0.21,0.07,
0.067,0.20,-0.04,0.52,-0.28,0.21,0.07,
0.068,0.20,-0.04,0.52,-0.25,0.21,0.07,
0.072,0.20,-0.04,0.52,-0.21,0.21,0.07,
0.074,0.13,-0.04,0.45,-0.21,0.21,0.07,
0.076,0.13,-0.04,0.45,-0.17,0.20,0.07,
0.077,0.13,-0.04,0.45,-0.14,0.20,0.07,
0.077,0.05,-0.02,0.28,-0.14,0.20,0.07,
0.078,0.05,-0.02,0.28,-0.10,0.20,0.07,
0.081,-0.03,-0.01,0.16,-0.10,0.20,0.07,
0.082,-0.03,-0.01,0.16,-0.07,0.18,0.07,
0.083,-0.03,-0.01,0.16,-0.04,0.17,0.07,
0.086,-0.05,-0.01,0.06,-0.04,0.17,0.07,
0.087,-0.05,-0.01,0.06,-0.01,0.17,0.07,
0.09,-0.05,-0.01,0.06,0.01,0.16,0.07,
0.091,-0.09,0.06,-0.00,0.01,0.16,0.07,
0.092,-0.09,0.06,-0.00,0.03,0.15,0.07,
0.096,-0.09,0.06,-0.00,0.05,0.15,0.08,
0.097,-0.12,0.14,-0.08,0.05,0.15,0.08,
0.098,-0.12,0.14,-0.08,0.06,0.14,0.08,
0.099,-0.12,0.14,-0.08,0.07,0.13,0.08,
0.101,-0.12,0.14,-0.08,0.08,0.13,0.09,
0.101,-0.09,0.20,-0.20,0.08,0.13,0.09,
0.106,-0.09,0.20,-0.20,0.08,0.12,0.09,
